"Type","name","Nodes","Edges","Labels","Max","Instance","a","b","c","d","Value","t","Cost"
"CBFS","500_24950_500_7_1",500,24950,500,7,1,349,349,6.691212916,162,67,12.933572334,2156106
"CBFS","400_15960_500_12_3",400,15960,500,12,3,544,544,9.391929857,101,6,45.195536214,5665560
"CBFS","500_24950_500_7_2",500,24950,500,7,2,349,349,3.644648687,71,70,13.233153385,2160948
"CBFS","400_15960_500_12_4",400,15960,500,12,4,544,544,21.225413616,231,7,50.857454261,5648879
"CBFS","500_24950_500_7_3",500,24950,500,7,3,349,349,2.244953827,35,66,13.558927514,2161846
"CBFS","400_15960_500_12_9",400,15960,500,12,9,544,544,23.213828113,252,9,51.455030949,5658549
"CBFS","400_15960_500_12_2",400,15960,500,12,2,544,544,20.195709586,205,7,53.196316125,5628703
"CBFS","400_15960_500_12_7",400,15960,500,12,7,544,544,13.010565162,140,8,53.079659234,5619419
"CBFS","400_15960_500_12_8",400,15960,500,12,8,544,544,11.967917392,120,7,52.953321007,5668456
"CBFS","400_15960_500_12_6",400,15960,500,12,6,544,544,26.965027697,263,9,54.030738224,5648677
"CBFS","500_24950_500_7_4",500,24950,500,7,4,349,349,2.26734177,38,73,13.558330968,2171922
"CBFS","500_24950_500_7_5",500,24950,500,7,5,349,349,1.367591973,8,69,13.643747933,2152975
"CBFS","500_24950_500_7_6",500,24950,500,7,6,349,349,10.674912571,275,72,12.634693767,2158866
"CBFS","500_24950_625_15_2",500,24950,625,15,2,684,684,4.434167401,0,1,4.434816328,6350940
"CBFS","500_24950_500_7_7",500,24950,500,7,7,349,349,0.935384963,0,76,13.018990303,2161565
"CBFS","500_24950_625_15_3",500,24950,625,15,3,684,684,4.216723929,0,1,4.231580316,6350940
"CBFS","500_24950_625_15_4",500,24950,625,15,4,684,684,4.116841123,0,1,4.117103885,6350940
"CBFS","1000_99900_250_3_1",1000,99900,250,3,1,147,147,0.597541462,0,57,1.228073667,169068
"CBFS","500_24950_625_15_5",500,24950,625,15,5,684,684,4.382260684,0,1,4.382594206,6350940
"CBFS","500_24950_500_7_8",500,24950,500,7,8,349,349,1.48257219,11,72,13.294700954,2165725
"CBFS","1000_99900_250_3_2",1000,99900,250,3,2,147,147,0.606620755,4,57,1.238607509,169367
"CBFS","1000_99900_250_3_3",1000,99900,250,3,3,147,147,0.580790914,0,52,1.168741585,168539
"CBFS","500_24950_625_15_8",500,24950,625,15,8,684,684,4.720276049,0,1,4.720574822,6350940
"CBFS","1000_99900_250_3_5",1000,99900,250,3,5,147,147,0.569208223,0,58,1.225517437,168848
"CBFS","1000_99900_250_3_4",1000,99900,250,3,4,147,147,0.594193902,10,57,1.307900641,169240
"CBFS","1000_99900_250_3_6",1000,99900,250,3,6,147,147,0.638596808,0,59,1.255915498,167830
"CBFS","500_24950_500_7_10",500,24950,500,7,10,349,349,5.874575451,137,70,11.064696092,2160291
"CBFS","500_24950_625_15_9",500,24950,625,15,9,684,684,4.4045099,0,1,4.404743914,6350940
"CBFS","500_24950_625_15_10",500,24950,625,15,10,684,684,4.59762807,0,1,4.597971882,6350940
"CBFS","500_24950_500_7_9",500,24950,500,7,9,349,349,6.708880494,162,66,12.128614308,2155087
"CBFS","1000_99900_250_3_7",1000,99900,250,3,7,147,147,0.584558905,0,60,1.307668838,168760
"CBFS","1000_99900_250_3_8",1000,99900,250,3,8,147,147,0.651388605,17,51,1.227737452,168501
"CBFS","1000_99900_250_3_10",1000,99900,250,3,10,147,147,0.542176162,0,55,1.292127226,167760
"CBFS","1000_99900_250_3_9",1000,99900,250,3,9,147,147,0.779936531,21,51,1.30625342,168299
"CBFS","500_24950_625_7_1",500,24950,625,7,1,365,365,5.922587251,123,111,13.406636923,2859291
"CBFS","500_24950_625_7_6",500,24950,625,7,6,365,365,1.717771381,7,109,14.179981208,2858097
"CBFS","500_24950_625_7_7",500,24950,625,7,7,365,365,3.980229768,48,119,16.791520194,2863181
"CBFS","1000_99900_500_7_1",1000,99900,500,7,1,349,349,17.370272483,237,13,24.231273327,2055022
"CBFS","1000_99900_500_7_7",1000,99900,500,7,7,349,349,9.16463398,112,13,23.406830414,2043205
"CBFS","1000_99900_500_7_6",1000,99900,500,7,6,349,349,6.590168027,59,15,23.503202978,2038717
"CBFS","1000_99900_500_7_2",1000,99900,500,7,2,349,349,11.839809787,142,14,24.499340828,2060420
"CBFS","1000_99900_500_7_3",1000,99900,500,7,3,349,349,3.608344085,0,13,24.257002241,2053371
"CBFS","1000_99900_500_7_4",1000,99900,500,7,4,349,349,9.066993688,104,14,24.229149683,2061238
"CBFS","1000_99900_500_7_5",1000,99900,500,7,5,349,349,3.039755862,0,14,24.127364887,2066190
"CBFS","1000_99900_500_7_9",1000,99900,500,7,9,349,349,8.470105236,93,14,23.956947797,2059107
"CBFS","1000_99900_500_7_8",1000,99900,500,7,8,349,349,20.497845394,289,15,24.066746857,2044375
"CBFS","1000_99900_500_7_10",1000,99900,500,7,10,349,349,13.666493161,169,16,22.800745527,2036030
"CBFS","1000_99900_1000_15_7",1000,99900,1000,15,7,756,756,14.248029444,0,1,14.248367362,11271960
"CBFS","1000_99900_1000_15_3",1000,99900,1000,15,3,756,756,14.578930522,0,1,14.579250254,11271960
"CBFS","1000_99900_1000_15_8",1000,99900,1000,15,8,756,756,14.928209627,0,1,14.928450864,11271960
"CBFS","1000_99900_1000_15_1",1000,99900,1000,15,1,756,756,15.646931416,0,1,15.647198334,11271960
"CBFS","1000_99900_1000_15_2",1000,99900,1000,15,2,756,756,15.498731388,0,1,15.49900052,11271960
"CBFS","1000_99900_1000_15_9",1000,99900,1000,15,9,756,756,15.203502662,0,1,15.203809058,11271960
"CBFS","1000_99900_1000_7_4",1000,99900,1000,7,4,398,398,13.680707424,55,182,41.679993944,5037857
"CBFS","1000_99900_1000_7_5",1000,99900,1000,7,5,398,398,27.73415372,221,174,41.799076693,5034003
"CBFS","1000_99900_1000_7_6",1000,99900,1000,7,6,398,398,17.155342001,158,182,36.908019662,5057845
"CBFS","1000_99900_1000_7_10",1000,99900,1000,7,10,398,398,19.562035985,186,179,36.766094598,5049388
"CBFS","1000_99900_1250_15_1",1000,99900,1250,15,1,789,789,194.379223631,338,11,434.021556556,25883508
"CBFS","1000_99900_1250_15_2",1000,99900,1250,15,2,789,789,199.848727672,364,10,432.899163498,25771472
"CBFS","1000_99900_1250_15_8",1000,99900,1250,15,8,789,789,97.882699547,150,12,425.062928561,25348668
"CBFS","1000_99900_1250_15_4",1000,99900,1250,15,4,789,789,18.865949784,0,13,430.172083301,25457712
"CBFS","1000_99900_1250_15_6",1000,99900,1250,15,6,789,789,166.995187436,274,10,433.39134642,25672047
"CBFS","1000_99900_1250_15_3",1000,99900,1250,15,3,789,789,337.022868467,583,10,437.629790196,25996498
"CBFS","1000_99900_1250_15_7",1000,99900,1250,15,7,789,789,238.134799358,398,11,438.525352144,25928672
"CBFS","1000_99900_1250_15_5",1000,99900,1250,15,5,789,789,81.795100415,126,9,438.973175336,25755052
"CBFS","1000_99900_1250_15_9",1000,99900,1250,15,9,789,789,19.678124236,0,13,434.118073184,25675638
"CBFS","1000_99900_1250_15_10",1000,99900,1250,15,10,789,789,21.627513506,0,13,431.957005151,25761946
